id_orig,original_language,budget,revenue,original_title,popularity,release_date,vote_average,vote_count,año,return
11443,en,10000000.0,0.0,Dead Presidents,9.87957,1995-10-06,6.6,80.0,1995,0.0
35196,en,19000000.0,0.0,Restoration,10.979269,1995-12-29,6.3,30.0,1995,0.0
9312,en,18000000.0,122195920.0,Mortal Kombat,10.870138,1995-08-18,5.4,452.0,1995,6.788662222222222
577,en,20000000.0,21284514.0,To Die For,10.448481,1995-05-20,6.7,177.0,1995,1.0642257
11861,en,10000000.0,23574130.0,How To Make An American Quilt,4.485958,1995-10-06,6.5,38.0,1995,2.357413
807,en,33000000.0,327311859.0,Se7en,18.45743,1995-09-22,8.1,5915.0,1995,9.918541181818181
10530,en,55000000.0,346079773.0,Pocahontas,13.280069,1995-06-14,6.7,1509.0,1995,6.292359509090909
8391,en,0.0,0.0,When Night Is Falling,3.302524,1995-05-05,5.9,10.0,1995,
629,en,6000000.0,23341568.0,The Usual Suspects,16.302466,1995-07-19,8.1,3334.0,1995,3.890261333333333
117164,en,0.0,0.0,Guardian Angel,0.595949,1994-11-22,6.3,3.0,1994,
11448,en,15000000.0,6700000.0,Mighty Aphrodite,15.899134,1995-09-13,6.7,145.0,1995,0.44666666666666666
26441,en,0.0,0.0,The Big Green,5.982764,1995-09-29,5.2,41.0,1995,
97406,en,0.0,0.0,Georgia,4.093443,1995-05-19,6.1,15.0,1995,
124057,en,0.0,0.0,Kids of the Round Table,0.307075,1997-07-08,3.0,1.0,1997,
9089,en,0.0,17519169.0,Home for the Holidays,8.416802,1995-11-02,6.3,39.0,1995,inf
11359,en,45000000.0,0.0,The Indian in the Cupboard,10.673296,1995-07-14,5.9,136.0,1995,0.0
17182,en,20000000.0,0.0,Eye for an Eye,4.733526,1996-01-12,5.8,65.0,1996,0.0
2054,en,0.0,106269971.0,Mr. Holland's Opus,7.137117,1995-12-29,6.9,115.0,1995,inf
10607,en,0.0,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1996-01-12,6.2,192.0,1996,
19760,en,0.0,0.0,Two If by Sea,2.174487,1996-01-12,4.5,14.0,1996,
9536,en,15000000.0,0.0,Bio-Dome,6.387469,1996-01-12,4.4,110.0,1996,0.0
11525,en,0.0,2409225.0,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12,2.8,32.0,1996,inf
40628,en,0.0,0.0,Two Bits,4.046208,1995-10-22,5.4,11.0,1995,
10634,en,3500000.0,28215918.0,Friday,14.56965,1995-04-26,7.0,513.0,1995,8.061690857142857
755,en,19000000.0,25836616.0,From Dusk Till Dawn,15.339153,1996-01-19,6.9,1644.0,1996,1.3598218947368421
11859,en,50000000.0,11534477.0,Fair Game,5.912223,1995-11-03,4.1,54.0,1995,0.23068954
28387,en,0.0,718490.0,Kicking and Screaming,3.367276,1995-10-06,7.0,36.0,1995,inf
20927,en,0.0,19030691.0,Bed of Roses,10.412194,1996-01-26,5.1,27.0,1996,inf
36929,en,15000000.0,2042530.0,Big Bully,2.936443,1996-01-26,3.9,16.0,1996,0.13616866666666666
9102,en,20000000.0,5781885.0,Screamers,12.758848,1995-09-08,6.1,154.0,1995,0.28909425
124626,en,0.0,0.0,Nico Icon,0.133893,1995-02-18,7.3,3.0,1995,
27526,en,0.0,0.0,The Crossing Guard,5.756462,1995-11-15,6.1,74.0,1995,
9623,en,44000000.0,0.0,The Juror,6.010579,1996-02-02,5.5,91.0,1996,0.0
400,en,8000000.0,529766.0,Things to Do in Denver When You're Dead,4.486179,1995-12-01,6.7,87.0,1995,0.06622075
146599,en,0.0,0.0,Once Upon a Time... When We Were Colored,0.252287,1996-01-26,4.5,2.0,1996,
188588,en,0.0,0.0,Last Summer in the Hamptons,0.531159,1995-11-22,0.0,0.0,1995,
8447,en,0.0,0.0,Angels and Insects,2.15166,1995-09-10,6.3,17.0,1995,
10534,en,38000000.0,10300000.0,White Squall,9.568604,1996-02-02,6.3,86.0,1996,0.2710526315789474
17414,en,16000000.0,0.0,Dunston Checks In,4.814825,1996-01-12,5.1,59.0,1996,0.0
13997,en,0.0,32.0,Black Sheep,8.963037,1996-02-01,6.0,124.0,1996,inf
2086,en,8169363.0,8175346.0,Nick of Time,6.848591,1995-11-22,6.1,190.0,1995,1.000732370443081
61548,en,0.0,0.0,The Journey of August King,0.411424,1995-09-14,6.7,3.0,1995,
9095,en,47000000.0,12379402.0,Mary Reilly,12.866139,1996-02-23,5.7,77.0,1996,0.2633915319148936
12158,en,14000000.0,19800000.0,Vampire in Brooklyn,9.071127,1995-10-26,4.5,113.0,1995,1.4142857142857144
9283,en,0.0,0.0,Beautiful Girls,4.670562,1996-02-09,6.6,103.0,1996,
9208,en,50000000.0,150270147.0,Broken Arrow,14.957626,1996-02-09,5.7,459.0,1996,3.00540294
40154,en,0.0,0.0,A Midwinter's Tale,0.513391,1995-12-01,7.5,6.0,1995,
45549,en,0.0,0.0,Shopping,2.657647,1994-12-06,5.6,13.0,1994,
63076,en,0.0,0.0,Heidi Fleiss: Hollywood Madam,0.638211,1995-12-27,6.8,4.0,1995,
11062,en,0.0,0.0,City Hall,4.807223,1996-02-16,6.0,67.0,1996,
13685,en,7000000.0,560069.0,Bottle Rocket,6.904831,1996-02-21,6.8,285.0,1996,0.08000985714285715
47475,en,0.0,0.0,Mr. Wrong,3.329264,1996-02-16,3.3,16.0,1996,
2045,en,18000000.0,0.0,Unforgettable,2.464425,1996-02-23,5.3,22.0,1996,0.0
9614,en,12000000.0,41205099.0,Happy Gilmore,9.592265,1996-02-16,6.5,767.0,1996,3.43375825
688,en,24000000.0,182016617.0,The Bridges of Madison County,5.951077,1995-05-28,7.3,397.0,1995,7.584025708333333
10874,en,0.0,34327391.0,Muppet Treasure Island,6.902423,1996-02-16,6.5,93.0,1996,inf
89333,en,0.0,0.0,Catwalk,0.976707,1995-12-08,7.0,2.0,1995,
96357,en,0.0,0.0,Headless Body in Topless Bar,0.001346,1995-05-20,0.0,0.0,1995,
197,en,72000000.0,210000000.0,Braveheart,20.755149,1995-05-24,7.7,3404.0,1995,2.9166666666666665
103,en,1300000.0,28262574.0,Taxi Driver,14.092713,1976-02-07,8.1,2632.0,1976,21.74044153846154
43566,en,35000000.0,0.0,Before and After,2.938293,1996-02-23,5.8,37.0,1996,0.0
71754,en,0.0,0.0,Margaret's Museum,0.372697,1995-09-13,7.5,2.0,1995,
43612,en,13365000.0,0.0,Le Bonheur est dans le pré,1.254885,1995-01-31,7.0,23.0,1995,0.0
51352,en,0.0,1.0,Anne Frank Remembered,0.243986,1995-06-08,7.3,4.0,1995,inf
16934,en,0.0,0.0,The Young Poisoner's Handbook,6.178497,1995-01-20,6.9,19.0,1995,
10324,en,0.0,0.0,If Lucy Fell,2.891918,1996-03-08,5.4,11.0,1996,
78406,en,25000000.0,6278139.0,Steal Big Steal Little,1.522412,1995-09-29,5.1,7.0,1995,0.25112556
55731,en,0.0,0.0,Race the Sun,1.317878,1996-03-22,5.2,21.0,1996,
32119,en,0.0,0.0,The Boys of St. Vincent,0.86539,1992-12-06,7.0,7.0,1992,
11066,en,40000000.0,70100000.0,Boomerang,6.506983,1992-06-30,5.4,139.0,1992,1.7525
2074,en,7000000.0,14702438.0,Flirting with Disaster,5.579088,1996-03-22,6.3,66.0,1996,2.100348285714286
27793,en,17000000.0,0.0,The NeverEnding Story III,6.252377,1994-10-26,4.4,105.0,1994,0.0
290157,en,0.0,0.0,Jupiter's Wife,0.001178,1995-01-01,0.0,0.0,1995,
110972,en,0.0,0.0,Pie in the Sky,0.699066,1996-02-09,7.0,2.0,1996,
32622,en,0.0,0.0,Angela,2.197439,1995-01-01,5.6,9.0,1995,
11863,en,50000000.0,9851610.0,Jade,11.418917,1995-10-13,5.1,45.0,1995,0.1970322
124636,en,0.0,0.0,Sonic Outlaws,0.001838,1995-08-01,0.0,0.0,1995,
9101,en,0.0,0.0,Down Periscope,5.184977,1996-03-01,5.6,110.0,1996,
123360,en,0.0,0.0,From the Journals of Jean Seberg,0.276401,1995-09-08,6.5,2.0,1995,
5757,en,0.0,209935.0,Man of the Year,0.540436,1995-09-15,3.8,2.0,1995,inf
39428,en,0.0,0.0,The Neon Bible,0.370342,1995-08-23,7.2,5.0,1995,
124639,en,0.0,0.0,Target,0.001205,1995-08-01,0.0,0.0,1995,
9302,en,60000000.0,0.0,Up Close & Personal,3.402749,1996-03-01,5.9,51.0,1996,0.0
11000,en,31000000.0,185260553.0,The Birdcage,6.49968,1996-03-08,6.7,303.0,1996,5.976146870967742
249882,en,0.0,0.0,Gospa,0.918504,1995-10-12,7.0,2.0,1995,
16388,en,0.0,0.0,The Brothers McMullen,2.039196,1995-08-09,6.3,23.0,1995,
9737,en,19000000.0,141407024.0,Bad Boys,9.262184,1995-04-07,6.5,1729.0,1995,7.442474947368421
30765,en,0.0,0.0,The Amazing Panda Adventure,2.375865,1995-08-25,5.0,31.0,1995,
10474,en,0.0,0.0,The Basketball Diaries,7.415144,1995-04-21,7.2,472.0,1995,
22279,en,4000000.0,851545.0,An Awfully Big Adventure,0.922958,1995-07-21,6.0,11.0,1995,0.21288625
30157,en,0.0,0.0,Amateur,1.759012,1994-08-05,6.5,21.0,1994,
568,en,52000000.0,355237933.0,Apollo 13,18.761467,1995-06-30,7.3,1637.0,1995,6.831498711538462
11780,en,28000000.0,31596911.0,Rob Roy,10.193549,1995-04-13,6.5,151.0,1995,1.1284611071428572
34996,en,0.0,0.0,The Addiction,3.137285,1995-01-10,6.4,46.0,1995,
414,en,100000000.0,336529144.0,Batman Forever,13.321354,1995-06-16,5.2,1529.0,1995,3.36529144
1873,en,0.0,0.0,Beyond Rangoon,2.04189,1995-05-24,6.4,21.0,1995,
5894,en,2000000.0,1275000.0,Blue in the Face,11.528147,1995-09-15,6.8,28.0,1995,0.6375
1775,en,11000000.0,178104.0,Canadian Bacon,5.391556,1995-06-08,5.9,57.0,1995,0.016191272727272728
8839,en,50000000.0,287928194.0,Casper,12.812539,1995-05-26,6.0,1045.0,1995,5.75856388
20649,en,25000000.0,13071518.0,Clockers,4.558992,1995-09-15,6.8,69.0,1995,0.52286072
10329,en,50000000.0,152022101.0,Congo,7.260574,1995-06-09,5.0,214.0,1995,3.04044202
8963,en,53000000.0,157387195.0,Crimson Tide,8.657365,1995-05-12,7.0,508.0,1995,2.969569716981132
26564,en,0.0,3174695.0,Crumb,3.620388,1994-09-10,7.6,71.0,1994,inf
8068,en,7000000.0,25405445.0,Desperado,6.950458,1995-08-25,6.8,898.0,1995,3.6293492857142855
8512,en,27000000.0,16140822.0,Devil in a Blue Dress,4.646132,1995-09-15,6.3,88.0,1995,0.5978082222222222
1572,en,90000000.0,366101666.0,Die Hard: With a Vengeance,15.138855,1995-05-19,6.9,2094.0,1995,4.067796288888889
13552,en,0.0,0.0,The Doom Generation,7.120806,1995-10-27,5.6,57.0,1995,
259209,en,0.0,0.0,Feast of July,0.523575,1995-10-12,0.0,0.0,1995,
6520,en,55000000.0,127600435.0,First Knight,15.178338,1995-07-07,5.9,319.0,1995,2.320007909090909
9073,en,0.0,0.0,Free Willy 2 - The Adventure Home,7.575098,1995-07-19,5.5,130.0,1995,
10428,en,20000000.0,7563728.0,Hackers,14.810519,1995-09-14,6.2,406.0,1995,0.3781864
17447,en,0.0,0.0,Jeffrey,3.196456,1995-08-18,6.5,19.0,1995,
9886,en,25000000.0,19075720.0,Johnny Mnemonic,11.715868,1995-05-26,5.5,380.0,1995,0.7630288
9482,en,90000000.0,113493481.0,Judge Dredd,8.184815,1995-06-30,5.4,643.0,1995,1.2610386777777778
19326,en,0.0,17014653.0,Jury Duty,3.676921,1995-04-12,4.0,34.0,1995,inf
9344,en,1500000.0,7412216.0,Kids,4.877872,1995-07-28,6.8,280.0,1995,4.941477333333333
9071,en,500000.0,1148752.0,Living in Oblivion,10.058329,1995-01-20,7.2,64.0,1995,2.297504
8973,en,0.0,0.0,Lord of Illusions,4.102409,1995-08-25,5.9,87.0,1995,
15730,en,0.0,0.0,Love & Human Remains,0.354014,1993-05-20,7.0,7.0,1993,
47608,en,0.0,15453274.0,Mad Love,2.624771,1995-05-26,5.5,27.0,1995,inf
2293,en,6000000.0,2122561.0,Mallrats,8.25547,1995-10-20,6.8,400.0,1995,0.35376016666666665
9070,en,15000000.0,66000000.0,Mighty Morphin Power Rangers: The Movie,7.024227,1995-06-30,5.2,153.0,1995,4.4
68274,en,0.0,0.0,Moonlight and Valentino,1.01115,1995-09-29,5.6,10.0,1995,
48787,en,2.0,1.0,Mute Witness,2.466066,1995-09-28,6.4,36.0,1995,0.5
34574,en,0.0,0.0,Nadja,7.720056,1994-09-13,5.9,12.0,1994,
1642,en,22000000.0,110627965.0,The Net,13.304342,1995-07-28,5.6,359.0,1995,5.028543863636363
11472,en,0.0,69660733.0,Nine Months,8.482834,1995-07-12,5.5,171.0,1995,inf
36196,en,150000.0,472370.0,Party Girl,1.165039,1995-06-09,5.8,14.0,1995,3.1491333333333333
11980,en,8.0,16.0,The Prophecy,10.187623,1995-09-01,6.4,139.0,1995,2.0
58372,en,0.0,0.0,Reckless,0.119713,1995-11-17,10.0,1.0,1995,
32646,en,0.0,0.0,Safe,8.180047,1995-06-23,7.2,62.0,1995,
10533,en,50000000.0,10382407.0,The Scarlet Letter,6.752119,1995-10-13,5.5,111.0,1995,0.20764814
56088,en,0.0,0.0,The Show,0.159596,1995-08-25,5.3,2.0,1995,
10802,en,45000000.0,20350754.0,Showgirls,17.502375,1995-09-22,4.9,261.0,1995,0.4522389777777778
10149,en,7000000.0,8349430.0,Smoke,5.552946,1995-06-09,7.2,115.0,1995,1.1927757142857143
18402,en,0.0,50892160.0,Something to Talk About,3.743212,1995-08-04,5.7,60.0,1995,inf
9348,en,35000000.0,113374103.0,Species,13.492845,1995-07-07,5.5,457.0,1995,3.2392600857142857
139408,en,0.0,0.0,The Stars Fell on Henrietta,0.913522,1995-09-15,6.6,6.0,1995,
281,en,42000000.0,7959291.0,Strange Days,11.223055,1995-10-13,6.8,334.0,1995,0.18950692857142856
79593,en,14000000.0,5780000.0,The Tie That Binds,1.820419,1995-09-08,4.6,9.0,1995,0.41285714285714287
47939,en,0.0,7025496.0,Three Wishes,11.002046,1995-10-27,6.1,18.0,1995,inf
36834,en,0.0,339889.0,Total Eclipse,4.546552,1995-11-02,6.5,112.0,1995,inf
9090,en,0.0,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,1995-09-07,6.3,117.0,1995,inf
3512,en,60000000.0,104324083.0,Under Siege 2: Dark Territory,7.490247,1995-07-13,5.6,217.0,1995,1.7387347166666667
52856,en,0.0,0.0,Unstrung Heroes,2.881689,1995-09-15,6.4,9.0,1995,
77350,en,0.0,0.0,Unzipped,0.786023,1995-08-11,6.0,6.0,1995,
9560,en,20000000.0,50012507.0,A Walk in the Clouds,9.715639,1995-08-11,6.5,168.0,1995,2.50062535
9804,en,175000000.0,264218220.0,Waterworld,16.885184,1995-07-28,5.9,1017.0,1995,1.5098184
31611,en,8000000.0,0.0,White Man's Burden,1.834099,1995-12-01,5.1,25.0,1995,0.0
65796,en,30000000.0,0.0,Wild Bill,8.922139,1995-12-01,5.9,27.0,1995,0.0
49805,en,0.0,0.0,The Browning Version,3.727644,1994-10-12,6.0,11.0,1994,
26258,en,0.0,0.0,Bushwhacked,3.287036,1995-08-04,4.9,29.0,1995,
19155,en,0.0,763847.0,Before the Rain,3.525649,1994-06-09,7.7,45.0,1994,inf
76,en,2500000.0,5535405.0,Before Sunrise,11.304979,1995-01-27,7.7,984.0,1995,2.214162
11017,en,10000000.0,26488734.0,Billy Madison,6.638116,1995-02-10,6.2,464.0,1995,2.6488734
37141,en,0.0,0.0,The Babysitter,2.761837,1995-10-17,4.7,27.0,1995,
9382,en,21000000.0,23450000.0,Boys on the Side,3.030309,1995-02-03,6.3,48.0,1995,1.1166666666666667
6715,en,0.0,0.0,The Cure,2.686342,1995-04-21,7.2,58.0,1995,
18256,en,0.0,0.0,Castle Freak,2.26977,1995-08-04,5.8,40.0,1995,
22625,en,0.0,0.0,Circle of Friends,2.605521,1995-03-16,6.5,30.0,1995,
2292,en,27000.0,3151130.0,Clerks,10.513367,1994-09-13,7.4,769.0,1994,116.70851851851852
1909,en,25000000.0,22200000.0,Don Juan DeMarco,7.438934,1994-10-01,6.3,184.0,1994,0.888
8984,en,55000000.0,214015089.0,Disclosure,11.812244,1994-12-09,5.9,217.0,1994,3.891183436363636
61813,en,0.0,0.0,Dream Man,0.155859,1995-01-01,2.5,1.0,1995,
4954,en,45000000.0,0.0,Drop Zone,9.579155,1994-12-08,5.1,91.0,1994,0.0
10531,en,0.0,0.0,Death and the Maiden,5.484156,1994-05-04,7.1,92.0,1994,
11929,en,0.0,0.0,Dolores Claiborne,5.8025,1995-03-24,7.1,183.0,1995,
8467,en,16000000.0,247275374.0,Dumb and Dumber,9.844558,1994-12-16,6.5,1894.0,1994,15.454710875
20156,en,0.0,0.0,Exotica,5.378467,1994-09-24,6.5,64.0,1994,
18395,en,0.0,6841570.0,Exit to Eden,4.322726,1994-10-14,4.3,28.0,1994,inf
522,en,18000000.0,5887457.0,Ed Wood,11.720358,1994-09-27,7.3,639.0,1994,0.32708094444444447
397,en,0.0,0.0,French Kiss,9.146544,1995-05-05,6.2,179.0,1995,
10525,en,0.0,0.0,Forget Paris,16.236745,1995-05-19,6.1,38.0,1995,
27985,en,0.0,0.0,Far from Home: The Adventures of Yellow Dog,2.657337,1995-01-13,5.6,27.0,1995,
15789,en,0.0,35348597.0,A Goofy Movie,10.177977,1995-04-07,6.7,404.0,1995,inf
27303,en,15000000.0,12201255.0,Hideaway,8.182165,1995-03-03,5.0,24.0,1995,0.813417
21183,en,0.0,0.0,Fluke,4.953936,1995-06-02,6.6,48.0,1995,
47867,en,0.0,3992809.0,Gordy,0.398924,1995-05-12,3.0,4.0,1995,inf
43475,en,0.0,0.0,Gumby: The Movie,0.090452,1995-12-01,5.0,2.0,1995,
72031,en,0.0,0.0,The Glass Shield,1.012197,1994-09-16,5.4,9.0,1994,
14275,en,700000.0,7830611.0,Hoop Dreams,9.47666,1994-09-12,7.7,91.0,1994,11.186587142857142
1024,en,5000000.0,3049135.0,Heavenly Creatures,9.438042,1994-09-02,6.9,299.0,1994,0.609827
17207,en,10500000.0,26325256.0,Houseguest,2.688562,1995-01-06,6.0,17.0,1995,2.507167238095238
13701,en,120.0,0.0,Immortal Beloved,7.983666,1994-12-16,6.9,90.0,1994,0.0
14819,en,0.0,17689177.0,Heavyweights,9.546707,1995-02-17,6.0,97.0,1995,inf
32631,en,0.0,0.0,The Hunted,2.756986,1995-02-24,6.0,25.0,1995,
11777,en,25000000.0,0.0,I.Q.,5.146352,1994-12-24,5.9,112.0,1994,0.0
628,en,60000000.0,223664608.0,Interview with the Vampire,11.970205,1994-11-11,7.2,1558.0,1994,3.7277434666666664
87729,en,14000000.0,2474000.0,Jefferson in Paris,1.596058,1995-03-31,5.2,10.0,1995,0.1767142857142857
18713,en,0.0,0.0,The Jerky Boys,0.748846,1995-02-03,4.8,10.0,1995,
6280,en,60000000.0,37000000.0,Junior,6.710215,1994-11-22,4.7,381.0,1994,0.6166666666666667
9061,en,0.0,0.0,Just Cause,9.195256,1995-02-17,6.0,124.0,1995,
37108,en,0.0,0.0,A Kid in King Arthur's Court,5.874511,1995-08-11,4.3,40.0,1995,
6071,en,40000000.0,0.0,Kiss of Death,7.797512,1995-04-21,5.7,83.0,1995,0.0
11,en,11000000.0,775398007.0,Star Wars,42.149697,1977-05-25,8.1,6778.0,1977,70.49072790909091
9587,en,18000000.0,0.0,Little Women,9.774994,1994-12-21,7.0,222.0,1994,0.0
19101,en,17000000.0,0.0,A Little Princess,7.731725,1995-05-10,7.4,207.0,1995,0.0
49980,en,0.0,0.0,Ladybird Ladybird,0.84508,1994-02-18,7.4,14.0,1994,
4476,en,30000000.0,160638883.0,Legends of the Fall,12.199047,1994-12-16,7.2,636.0,1994,5.354629433333334
11008,en,0.0,0.0,Major Payne,9.253362,1995-03-24,6.1,164.0,1995,
47504,en,0.0,0.0,Little Odessa,1.861292,1994-10-27,6.4,31.0,1994,
32325,en,0.0,0.0,Mi Vida Loca,1.788829,1994-06-08,5.7,9.0,1994,
43742,en,60000000.0,0.0,Love Affair,3.290192,1994-10-21,4.3,11.0,1994,0.0
28313,en,17000000.0,7603766.0,Losing Isaiah,7.698526,1995-03-17,6.4,28.0,1995,0.44728035294117646
11318,en,0.0,0.0,The Madness of King George,4.81307,1994-12-28,6.7,67.0,1994,
3036,en,45000000.0,112006296.0,Frankenstein,14.287753,1994-11-04,6.1,272.0,1994,2.4890288
40490,en,0.0,0.0,Man of the House,2.558118,1995-03-03,5.1,40.0,1995,
24070,en,15000000.0,0.0,Mixed Nuts,2.899608,1994-12-21,5.2,37.0,1994,0.0
8986,en,0.0,18137661.0,Milk Money,3.770115,1994-08-31,5.6,49.0,1994,inf
10510,en,0.0,46264384.0,Miracle on 34th Street,5.831622,1994-11-18,6.4,199.0,1994,inf
17402,en,6.0,5.0,Miami Rhapsody,1.137266,1995-01-27,5.6,7.0,1995,0.8333333333333334
38722,en,5500000.0,0.0,My Family,3.121288,1995-05-03,7.0,11.0,1995,0.0
8438,en,0.0,17381942.0,Murder in the First,9.518564,1995-01-20,6.9,140.0,1995,inf
11593,en,0.0,0.0,Nobody's Fool,2.891269,1994-12-23,7.0,56.0,1994,
1945,en,31000000.0,106683817.0,Nell,5.930957,1994-12-23,6.1,128.0,1994,3.4414134516129034
39310,en,0.0,0.0,New Jersey Drive,0.629955,1995-04-19,6.9,7.0,1995,
109560,en,0.0,0.0,New York Cop,0.004537,1993-08-14,0.0,0.0,1993,
56428,en,4800000.0,0.0,Beyond Bedlam,0.426952,1994-04-22,4.0,4.0,1994,0.0
63105,en,0.0,0.0,Nemesis 2 - Nebula,1.466491,1995-09-26,4.6,10.0,1995,
131957,en,0.0,0.0,Nina Takes a Lover,0.769522,1995-03-03,7.4,4.0,1995,
241,en,34000000.0,50282766.0,Natural Born Killers,11.226856,1994-08-25,6.9,927.0,1994,1.4789048823529412
9058,en,0.0,0.0,Only You,4.936761,1994-09-17,6.4,92.0,1994,
527,en,0.0,2201126.0,Once Were Warriors,4.025276,1994-09-02,7.6,106.0,1994,inf
18220,en,0.0,0.0,Poison Ivy II: Lily,6.448039,1996-01-16,4.6,32.0,1996,
6950,en,50000000.0,189859560.0,Outbreak,13.676444,1995-03-10,6.4,522.0,1995,3.7971912
63020,en,11000000.0,2832826.0,The Perez Family,1.433544,1995-05-12,6.6,9.0,1995,0.25752963636363635
2307,en,0.0,0.0,A Pyromaniac's Love Story,0.463307,1995-04-28,7.0,2.0,1995,
680,en,8000000.0,213928762.0,Pulp Fiction,140.950236,1994-09-10,8.3,8670.0,1994,26.74109525
41478,en,0.0,6834525.0,Panther,7.160149,1995-11-10,6.4,6.0,1995,inf
40156,en,0.0,4176932.0,Priest,1.881932,1994-01-01,6.4,32.0,1994,inf
11450,en,0.0,0.0,Quiz Show,7.772505,1994-09-16,7.1,262.0,1994,
30304,en,0.0,0.0,Picture Bride,1.296912,1995-05-05,7.4,5.0,1995,
12106,en,32000000.0,18552460.0,The Quick and the Dead,7.54701,1995-02-09,6.2,431.0,1995,0.579764375
3586,en,15000000.0,11300653.0,Prêt-à-Porter,6.259433,1994-12-23,5.3,33.0,1994,0.7533768666666667
36357,en,0.0,0.0,Rent-a-Kid,1.155255,1995-01-01,5.1,15.0,1995,
92769,en,0.0,0.0,Relative Fear,0.499601,1995-10-03,4.7,3.0,1995,
28033,en,0.0,0.0,Stuart Saves His Family,1.390885,1995-04-12,5.0,6.0,1995,
22586,en,35000000.0,9771658.0,The Swan Princess,8.910462,1994-11-18,6.5,251.0,1994,0.27919022857142856
